| ------------------- | ------------- | ------------------------- | --------------------------------------------- |
| Phase               | Time in Phase | Time/Date                 | Description                                   |
| ------------------- | ------------- | ------------------------- | --------------------------------------------- |
| add_files           | 00h:00m:00s   | 08:57:28 Tue Feb 05 2019  | Add source files                              |
| ------------------- | ------------- | ------------------------- | --------------------------------------------- |
| synth_design        | 00h:00m:21s   | 08:57:28 Tue Feb 05 2019  | -flatten_hierarchy rebuilt                    |
| ------------------- | ------------- | ------------------------- | --------------------------------------------- |
| write_checkpiont    | 00h:00m:00s   | 08:57:49 Tue Feb 05 2019  | Write out synthesis DCP                       |
| ------------------- | ------------- | ------------------------- | --------------------------------------------- |
| report_utilization  | 00h:00m:00s   | 08:57:49 Tue Feb 05 2019  | Write out synthesis DCP                       |
| ------------------- | ------------- | ------------------------- | --------------------------------------------- |
Total time:		00h:00m:22s


| ------------------- | ------------- | ------------------------- | --------------------------------------------- |
| Phase               | Time in Phase | Time/Date                 | Description                                   |
| ------------------- | ------------- | ------------------------- | --------------------------------------------- |
| add_files           | 00h:00m:00s   | 08:57:49 Tue Feb 05 2019  | Add source files                              |
| ------------------- | ------------- | ------------------------- | --------------------------------------------- |
| synth_design        | 00h:00m:09s   | 08:57:49 Tue Feb 05 2019  | -flatten_hierarchy rebuilt                    |
| ------------------- | ------------- | ------------------------- | --------------------------------------------- |
| write_checkpiont    | 00h:00m:17s   | 08:57:58 Tue Feb 05 2019  | Write out synthesis DCP                       |
| ------------------- | ------------- | ------------------------- | --------------------------------------------- |
| report_utilization  | 00h:00m:00s   | 08:58:15 Tue Feb 05 2019  | Write out synthesis DCP                       |
| ------------------- | ------------- | ------------------------- | --------------------------------------------- |
Total time:		00h:00m:26s


| ------------------- | ------------- | ------------------------- | --------------------------------------------- |
| Phase               | Time in Phase | Time/Date                 | Description                                   |
| ------------------- | ------------- | ------------------------- | --------------------------------------------- |
| add_files           | 00h:00m:00s   | 08:58:16 Tue Feb 05 2019  | Add source files                              |
| ------------------- | ------------- | ------------------------- | --------------------------------------------- |
| synth_design        | 00h:00m:08s   | 08:58:16 Tue Feb 05 2019  | -flatten_hierarchy rebuilt                    |
| ------------------- | ------------- | ------------------------- | --------------------------------------------- |
| write_checkpiont    | 00h:00m:00s   | 08:58:24 Tue Feb 05 2019  | Write out synthesis DCP                       |
| ------------------- | ------------- | ------------------------- | --------------------------------------------- |
| report_utilization  | 00h:00m:00s   | 08:58:24 Tue Feb 05 2019  | Write out synthesis DCP                       |
| ------------------- | ------------- | ------------------------- | --------------------------------------------- |
Total time:		00h:00m:08s


| ------------------- | ------------- | ------------------------- | --------------------------------------------- |
| Phase               | Time in Phase | Time/Date                 | Description                                   |
| ------------------- | ------------- | ------------------------- | --------------------------------------------- |
| add_files           | 00h:00m:00s   | 08:58:25 Tue Feb 05 2019  | Add source files                              |
| ------------------- | ------------- | ------------------------- | --------------------------------------------- |
| synth_design        | 00h:00m:09s   | 08:58:25 Tue Feb 05 2019  | -flatten_hierarchy rebuilt                    |
| ------------------- | ------------- | ------------------------- | --------------------------------------------- |
| write_checkpiont    | 00h:00m:00s   | 08:58:34 Tue Feb 05 2019  | Write out synthesis DCP                       |
| ------------------- | ------------- | ------------------------- | --------------------------------------------- |
| report_utilization  | 00h:00m:00s   | 08:58:34 Tue Feb 05 2019  | Write out synthesis DCP                       |
| ------------------- | ------------- | ------------------------- | --------------------------------------------- |
Total time:		00h:00m:09s


| ------------------- | ------------- | ------------------------- | --------------------------------------------- |
| Phase               | Time in Phase | Time/Date                 | Description                                   |
| ------------------- | ------------- | ------------------------- | --------------------------------------------- |
| add_files           | 00h:00m:00s   | 08:58:34 Tue Feb 05 2019  | Add source files                              |
| ------------------- | ------------- | ------------------------- | --------------------------------------------- |
| synth_design        | 00h:00m:09s   | 08:58:34 Tue Feb 05 2019  | -flatten_hierarchy rebuilt                    |
| ------------------- | ------------- | ------------------------- | --------------------------------------------- |
| write_checkpiont    | 00h:00m:00s   | 08:58:43 Tue Feb 05 2019  | Write out synthesis DCP                       |
| ------------------- | ------------- | ------------------------- | --------------------------------------------- |
| report_utilization  | 00h:00m:00s   | 08:58:43 Tue Feb 05 2019  | Write out synthesis DCP                       |
| ------------------- | ------------- | ------------------------- | --------------------------------------------- |
Total time:		00h:00m:09s


